Date,total_lmp,node_name
7/1/2022 7:00:00 AM,54.79736,AEP GEN HUB
7/1/2022 7:00:00 AM,55.66758,AEP-DAYTON HUB
7/1/2022 7:00:00 AM,56.23909,ATSI GEN HUB
7/1/2022 7:00:00 AM,53.28284,CHICAGO GEN HUB
7/1/2022 7:00:00 AM,53.99944,CHICAGO HUB
7/1/2022 7:00:00 AM,57.90192,DOMINION HUB
7/1/2022 7:00:00 AM,58.15302,EASTERN HUB
7/1/2022 7:00:00 AM,53.67297,N ILLINOIS HUB
7/1/2022 7:00:00 AM,57.87319,NEW JERSEY HUB
7/1/2022 7:00:00 AM,55.66261,OHIO HUB
7/1/2022 7:00:00 AM,56.76222,WEST INT HUB
7/1/2022 7:00:00 AM,58.34885,WESTERN HUB
7/1/2022 8:00:00 AM,66.60105,AEP GEN HUB
7/1/2022 8:00:00 AM,67.90955,AEP-DAYTON HUB
7/1/2022 8:00:00 AM,68.63181,ATSI GEN HUB
7/1/2022 8:00:00 AM,65.76115,CHICAGO GEN HUB
7/1/2022 8:00:00 AM,66.75023,CHICAGO HUB
7/1/2022 8:00:00 AM,70.00283,DOMINION HUB
7/1/2022 8:00:00 AM,68.34535,EASTERN HUB
7/1/2022 8:00:00 AM,66.30112,N ILLINOIS HUB
7/1/2022 8:00:00 AM,67.87408,NEW JERSEY HUB
7/1/2022 8:00:00 AM,68.00109,OHIO HUB
7/1/2022 8:00:00 AM,69.14833,WEST INT HUB
7/1/2022 8:00:00 AM,72.08072,WESTERN HUB
7/1/2022 9:00:00 AM,78.52105,AEP GEN HUB
7/1/2022 9:00:00 AM,80.42986,AEP-DAYTON HUB
7/1/2022 9:00:00 AM,81.21795,ATSI GEN HUB
7/1/2022 9:00:00 AM,77.81223,CHICAGO GEN HUB
7/1/2022 9:00:00 AM,79.04300,CHICAGO HUB
7/1/2022 9:00:00 AM,81.77537,DOMINION HUB
7/1/2022 9:00:00 AM,74.05465,EASTERN HUB
7/1/2022 9:00:00 AM,78.48842,N ILLINOIS HUB
7/1/2022 9:00:00 AM,74.69593,NEW JERSEY HUB
7/1/2022 9:00:00 AM,80.69197,OHIO HUB
7/1/2022 9:00:00 AM,81.46000,WEST INT HUB
7/1/2022 9:00:00 AM,83.91009,WESTERN HUB
7/1/2022 10:00:00 AM,90.05921,AEP GEN HUB
7/1/2022 10:00:00 AM,92.42471,AEP-DAYTON HUB
7/1/2022 10:00:00 AM,93.02068,ATSI GEN HUB
7/1/2022 10:00:00 AM,88.81999,CHICAGO GEN HUB
7/1/2022 10:00:00 AM,90.35439,CHICAGO HUB
7/1/2022 10:00:00 AM,94.20337,DOMINION HUB
7/1/2022 10:00:00 AM,75.85800,EASTERN HUB
7/1/2022 10:00:00 AM,89.66175,N ILLINOIS HUB
7/1/2022 10:00:00 AM,78.57842,NEW JERSEY HUB
